source,target
1,"2, 3, 4, 5, 6, 7, 8, 9, 10, 16, 17, 18, 19, 53, 56"
2,"3, 4, 5, 8, 49, 53, 107, 168, 17, 106, 18, 29, 19, 34, 400, 38, 13, 3680, 872, 3660, 11194, 11416, 11046, 17003"
3,"54, 18, 563, 4, 5, 6, 9, 8, 39, 16, 27, 28, 49, 29, 106, 17, 53, 19, 400, 13, 41, 189, 391, 212, 145, 485, 274, 4057, 4052, 2201, 5066, 2801, 1048, 4123, 5309, 1935, 15659"
4,"10582, 10587, 16, 49, 123, 391, 13, 19, 16, 17, 106, 858, 237, 4048, 405, 448, 3048, 3680, 5030, 1238, 880, 989, 1830, 11002, 11112, 10567, 11353, 11359, 11017, 10694, 10600, 10602, 11421, 19103, 19291, 19282"
5,"30, 31, 16, 400, 13, 38, 182, 438, 17, 18, 106, 108, 34, 393, 384, 41, 405, 1937, 2080, 4081, 5202, 4047, 1546, 3660, 10600, 19933, 19508, 11045, 19566, 11659"
6,"577, 578, 579, 10598, 10573, 10574, 10504, 34, 2705, 3048, 2711, 169, 10567, 11046, 5030, 11113, 11443"
7,"106, 10511, 11112, 11046, 5030, 11012, 11059"
8,"584, 10561, 10560, 10569, 10567, 18999, 2201, 17, 18, 34, 871, 19, 11577, 5030, 12551, 13510, 709, 11058"
9,"598, 10553, 10554, 10555, 10556, 10557, 10558, 10559, 53, 18, 17, 393, 3048, 5003, 5030, 584, 11113, 11359, 11017, 11153, 11112, 10774, 11382, 11028, 11846, 10710"
10,"34, 394, 5152, 4048, 5172, 4056, 11026, 11416, 11046, 14212, 16105"
11,"13269, 29, 5202, 3660, 11046, 11113, 10561, 11520, 10511, 15317, 11697, 19920, 11043, 11217, 11035"
12,NA
13,"12496, 17, 18, 19, 4049, 34, 858, 5232, 11002, 11171, 11046, 11443, 405, 11027, 11113, 11451, 11226, 11406, 11829, 11153, 11266, 11677, 11420, 10567, 11280, 11842, 11843, 11283, 11840, 10907, 11850, 11011, 11284, 11165, 11852, 11212, 11168, 11016, 11035, 11509, 11005, 11170, 11511, 10554, 10774, 18421, 11053, 11023, 11028, 11029, 11052, 11865, 10694, 5003, 11167, 12135, 11571"
14,"19, 4052, 17, 38, 3660, 11457, 11113, 10911, 10768, 3680, 11055, 11044"
15,"50, 400, 17, 19"
